Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"39 Yarrowee Street, Sebastopol VIC 3356",1.509078269,Morshead Park,Poor Park,3,1,1,House,310,-37.586562,143.8431048
"17 Koala Street, Cowes VIC 3922",0.459961316,NRMA Phillip Island Beachfront Holiday Park,Average Park,2,1,2,House,375,-38.4555816,145.2276303
"1 King George Street, Cohuna VIC 3568",26.1366847,Torrumbarry Weir Holiday Park,Poor Park,2,1,0,House,300,-35.8108785,144.2237231
"24 Heesom Crescent, Churchill VIC 3842",8.363885522,Morwell Centenary Rose Garden,Average Park,3,1,2,House,360,-38.3095324,146.413531
"13 Hewitt Street, Ararat VIC 3377",71.6978198,Black Range State Park,Poor Park,3,1,1,House,380,-37.2795317,142.9236833
"311 Elsworth Street, Mount Pleasant VIC 3350",1.701477807,NRMA Ballarat Holiday Park,Average Park,3,2,1,House,360,-37.5822096,143.8562074
"16 Wellington Street, Maryborough VIC 3465",36.70407786,Lambley Gardens & Nursery,Poor Park,3,1,1,House,360,-37.0496924,143.730642
"20 Macrae Street, East Bairnsdale VIC 3875",79.48442064,Wallaby Rise Bush Camping Park,Poor Park,1,1,0,House,365,-37.82627,147.6465996
"107 Adair St, Redan VIC 3350",0.903493986,Morshead Park,Poor Park,3,1,1,House,380,-37.5721271,143.8332223
"14 Grace Street, Maryborough VIC 3465",36.96711274,Lambley Gardens & Nursery,Poor Park,3,2,2,House,400,-37.0459952,143.7453158
"27 Grace Street, Maryborough VIC 3465",36.96175748,Lambley Gardens & Nursery,Poor Park,4,2,1,House,400,-37.0460649,143.7450331
"15 Tinworth Avenue, Mount Clear VIC 3350",2.227812323,NRMA Ballarat Holiday Park,Average Park,3,2,2,House,400,-37.59227,143.8658499
"322 Raglan Street South, Ballarat Central VIC 3350",0.85063066,Sturt Street Gardens,Poor Park,2,1,1,House,395,-37.5686348,143.8486758
"88 Water Street, Brown Hill VIC 3350",2.183696429,Ballarat Wildlife Park,Good Park,3,1,4,House,400,-37.5521154,143.903372
"52 Beach Road, St Leonards VIC 3223",10.36630808,Bellarine Bayside Holiday Parks,Average Park,2,1,2,House,380,-38.1922043,144.7062047
"3/1 Maude Street, Wendouree VIC 3355",1.299698447,Pioneer Park,Poor Park,1,1,1,House,320,-37.5312037,143.8270653
Rawson VIC 3825,14.24995931,Baw Baw National Park,Poor Park,2,1,1,House,200,-37.9573085,146.3990794
